2024-10-26 00:00:34.429212,[40.1, 'f'],[33.7929838079676, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729918834.4285042],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729918834.355047],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:01:34.743827,[40.1, 'f'],[33.7929838079676, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729918894.7429729],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729918894.3887465],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:02:39.722785,[40.1, 'f'],[33.7929838079676, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729918959.7214968],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729918958.8697996],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:03:35.780269,[39.92, 'f'],[33.618042497909656, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919015.7798507],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919015.7393568],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:04:39.734579,[39.92, 'f'],[33.618042497909656, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919079.7332823],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919078.8063924],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:05:35.679613,[39.92, 'f'],[33.618042497909656, 'f'],[78.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919135.6791158],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919134.9918225],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:06:38.950008,[39.92, 'f'],[33.93681377433958, 'f'],[79.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919198.9490857],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[0.06710808876163199, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919198.8277328],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:07:38.908632,[39.92, 'f'],[33.93681377433958, 'f'],[79.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919258.907705],['NNW', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919258.7969708],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:08:39.690656,[39.74, 'f'],[33.76161641078821, 'f'],[79.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919319.6897297],['N', '', 'Calm', '[color=9aba2fff]Calm[/color]'],[0.0, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919318.7998269],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:09:39.696009,[39.92, 'f'],[33.93681377433958, 'f'],[79.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919379.6944935],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[0.380279169649248, 'mph', 0.0, '0', 'Calm Conditions'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919378.8003876],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-26 00:10:39.676394,[39.92, 'f'],[33.93681377433958, 'f'],[79.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0, ' in', 0.0, 1729919439.6756048],['WNW', '', 'WNW', 'West [color=9aba2fff]NW[/color]'],[2.0132426628489597, 'mph', 1.0, '1', 'Light Air'],[25.261001950058553, ' inHg', 855.4323199060807],[0.0, 'count', 0.0, 1729919438.8160722],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
