2024-10-31 00:00:58.679523,[54.32, 'f'],[54.04460008418363, 'f'],[99.0, '%'],[0.017879537214, ' in/hr', 'Light Rain', 0.45414],[0.0002979922869, ' in', 0.007569, 1730350858.6785982],['NW', '', 'NW', 'North [color=9aba2fff]West[/color]'],[2.080350751610592, 'mph', 1.0, '1', 'Light Air'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730350857.7939177],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:03:43.863836,[54.32, 'f'],[54.04460008418363, 'f'],[99.0, '%'],[0.006276381342, ' in/hr', 'Very Light Rain', 0.15942],[0.0005706302294, ' in', 0.014494, 1730351023.8621566],['NNW', '', 'NNW', 'North [color=9aba2fff]NW[/color]'],[1.5434860415175358, 'mph', 1.0, '1', 'Light Air'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351023.7260108],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:06:53.924489,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.013991346138, ' in/hr', 'Light Rain', 0.35538000000000003],[0.0008038193317, ' in', 0.020417, 1730351213.9235666],['SE', '', 'SE', 'South [color=9aba2fff]East[/color]'],[2.7738010021474557, 'mph', 1.0, '1', 'Light Air'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351213.8070307],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:08:40.757472,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.013070085798, ' in/hr', 'Light Rain', 0.33198],[0.0012162604993, ' in', 0.030893, 1730351320.7570632],['ESE', '', 'ESE', 'East [color=9aba2fff]SE[/color]'],[5.2120615604867515, 'mph', 2.0, '2', 'Light Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351319.80945],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:10:45.744855,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.017796860004, ' in/hr', 'Light Rain', 0.45204],[0.0015128748327, ' in', 0.038427, 1730351445.7441158],['ESE', '', 'ESE', 'East [color=9aba2fff]SE[/color]'],[5.860773085182528, 'mph', 2.0, '2', 'Light Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351445.6786242],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:12:44.933618,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.027746471675999997, ' in/hr', 'Light Rain', 0.7047599999999999],[0.0019753160273, ' in', 0.050173, 1730351564.9328163],['SE', '', 'SE', 'South [color=9aba2fff]East[/color]'],[6.733178239083743, 'mph', 2.0, '2', 'Light Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351564.8419049],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:13:47.770154,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.035966948556, ' in/hr', 'Light Rain', 0.91356],[0.0025747651699, ' in', 0.065399, 1730351627.768865],['SE', '', 'SE', 'South [color=9aba2fff]East[/color]'],[7.9411238367931185, 'mph', 3.0, '3', 'Gentle Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351626.8730867],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:19:03.784009,[54.14, 'f'],[53.8648156053203, 'f'],[99, '%'],[0.021621271517999998, ' in/hr', 'Light Rain', 0.54918],[0.0029351196951999995, ' in', 0.074552, 1730351943.7827203],['ESE', '', 'ESE', 'East [color=9aba2fff]SE[/color]'],[11.341267000715808, 'mph', 3.0, '3', 'Gentle Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351943.6815555],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:19:07.718707,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.021621271517999998, ' in/hr', 'Light Rain', 0.54918],[0.0029351196951999995, ' in', 0.074552, 1730351947.7174146],['ESE', '', 'ESE', 'East [color=9aba2fff]SE[/color]'],[11.341267000715808, 'mph', 3.0, '3', 'Gentle Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351946.874677],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:19:47.772077,[54.14, 'f'],[53.8648156053203, 'f'],[99.0, '%'],[0.03375592374, ' in/hr', 'Light Rain', 0.8574],[0.0034977184242, ' in', 0.088842, 1730351987.7682083],['SE', '', 'SE', 'South [color=9aba2fff]East[/color]'],[11.050465282748736, 'mph', 3.0, '3', 'Gentle Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730351986.8752317],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-10-31 00:20:53.772074,[53.96, 'f'],[53.685031042143706, 'f'],[99.0, '%'],[0.024533871515999995, ' in/hr', 'Light Rain', 0.6231599999999999],[0.0039066162827999995, ' in', 0.099228, 1730352053.7657106],['SE', '', 'SE', 'South [color=9aba2fff]East[/color]'],[9.350393700787391, 'mph', 3.0, '3', 'Gentle Breeze'],[25.29176158274499, ' inHg', 856.4739564967606],[0.0, 'count', 0.0, 1730352052.8211362],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
