2024-11-05 00:00:33.920329,[50.36, 'f'],[50.089322072736024, 'f'],[99.0, '%'],[0.011052761873999999, ' in/hr', 'Light Rain', 0.28074],[0.0001842126979, ' in', 0.004679, 1730786433.914152],['NE', '', 'NE', 'North [color=9aba2fff]East[/color]'],[4.406764495347168, 'mph', 2.0, '2', 'Light Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786433.7770271],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:01:33.778170,[50.36, 'f'],[50.089322072736024, 'f'],[99.0, '%'],[0.03509765674799999, ' in/hr', 'Light Rain', 0.8914799999999999],[0.0007691736436999999, ' in', 0.019537, 1730786493.7768822],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[5.972619899785247, 'mph', 2.0, '2', 'Light Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786492.8822107],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:02:34.920388,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.06941342331, ' in/hr', 'Moderate Rain', 1.7631000000000001],[0.0019260640322, ' in', 0.048922, 1730786554.9140453],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[4.4738725841088, 'mph', 2.0, '2', 'Light Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786554.7729397],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:03:35.715005,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.02018505027, ' in/hr', 'Light Rain', 0.5127],[0.0022624815366999998, ' in', 0.057467, 1730786615.7142103],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[4.093593414459551, 'mph', 2.0, '2', 'Light Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786614.8260262],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:03:48.833050,[50.18, 'f'],[49.90953573896728, 'f'],[99, '%'],[0.02018505027, ' in/hr', 'Light Rain', 0.5127],[0.0022624815366999998, ' in', 0.057467, 1730786628.831847],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[4.093593414459551, 'mph', 2.0, '2', 'Light Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786628.684582],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:04:34.731976,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.0038031516600000002, ' in/hr', 'Very Light Rain', 0.0966],[0.0023258673977, ' in', 0.059077, 1730786674.730686],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[8.858267716535423, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786673.8289716],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:05:33.895113,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.000805512246, ' in/hr', 'Very Light Rain', 0.02046],[0.0023392926018, ' in', 0.059418, 1730786733.8941798],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[9.641195418754462, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786733.7673085],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:06:33.688341,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.0, ' in/hr', 'Currently Dry', 0.0],[0.0023392926018, ' in', 0.059418, 1730786793.6861835],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[9.663564781675008, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786792.8049548],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:07:33.796869,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.003075592212, ' in/hr', 'Very Light Rain', 0.07812],[0.002390552472, ' in', 0.06072, 1730786853.780094],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[9.5069792412312, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786852.863242],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:08:34.945233,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.01752756852, ' in/hr', 'Light Rain', 0.44520000000000004],[0.002682678614, ' in', 0.06814, 1730786914.9389439],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[11.028095919828191, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786914.8103554],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
2024-11-05 00:09:33.918234,[50.18, 'f'],[49.90953573896728, 'f'],[99.0, '%'],[0.002416536738, ' in/hr', 'Very Light Rain', 0.061380000000000004],[0.0027229542263, ' in', 0.069163, 1730786973.9169571],['NNE', '', 'NNE', 'North [color=9aba2fff]NE[/color]'],[11.788654259126686, 'mph', 3.0, '3', 'Gentle Breeze'],[25.282533723587914, ' inHg', 856.1614665574418],[0.0, 'count', 0.0, 1730786973.7539098],[19.88384, 'miles'],[0.0, '/min', 0.0, '/min']
